merchant_mask,score,segment_type,gen_industry,log_orders,log_gmv,CTR,price_competitiveness,avg_order_value,do_click_ratio,is_active
Тихальчестер,0.7285965346847649,top100,Pharma,6.904750769961838,14.412773844177174,0.020811279839573107,0.8264,1824.4357429718875,0.3435934664246824,1
Зоровемир,0.7272444195857745,big,CEHAC,6.295266001439646,16.99664426561726,0.014542680816021846,0.9061,44499.13123844732,0.2737961810946706,1
Луневридж,0.7271270593464003,medium,FMCG,6.52649485957079,14.673663997052774,0.027369278968382718,0.8173,3458.6510263929617,0.11526217344448711,1
Новомпорт,0.727112648742048,top100,FMCG,8.321907968230423,17.048881262651275,0.026916917150287597,0.4784,6168.533560311284,0.06407391392782912,1
Лесольвиль,0.725669269994343,medium,DIY,5.736572297479192,16.168918129529494,0.025342552586545376,0.8626,34049.70873786408,0.19559973449464943,1
Росеремир,0.7236904670377206,medium,FMCG,6.852242569051878,14.340624811314596,0.02315641231984783,0.8125,1789.0486772486772,0.16999447121080483,1
Тихархилл,0.7228583104866511,top100,DIY,8.533656917446903,19.80947198776461,0.03293958161804423,0.1846,78905.94254230618,0.02290185714399433,1
Нординбург,0.7220770865959023,big,FMCG,7.0825485693553,15.842217767460156,0.019155005183341182,0.8603,6377.357142857143,0.07514982052953605,1
Форгринельск,0.7218418935244606,big,Other,6.255750041753367,15.578606800469952,0.02874092251721028,0.6611,11212.425,0.13837451508723653,1
Зорельинск,0.7213915075569833,big,Other,8.037220031133012,15.856752055431025,0.017460565183272044,0.7129,2489.5447785321694,0.1207166340013909,1
Терельельск,0.720816153720913,big,CEHAC,6.576469569048224,14.217265458423046,0.02857542416383556,0.8882,2084.3012552301257,0.07651506271246043,1
Порттерчестер,0.7204645427452658,big,Other,7.742835955430749,15.584362474600605,0.01824700997674295,0.6343,2545.1892361111113,0.1936864522508133,1
Финайград,0.7191567083636005,top100,Other,8.299783171949787,15.261401012146196,0.018639742949689137,0.7024,1055.6016907011438,0.12870382850954454,1
Велельхилл,0.718662926631107,big,DIY,7.487173694213739,17.89469791120715,0.02057223822107202,0.5799,33126.358744394616,0.07670780339319003,1
Ладтерск,0.7169072729864386,unknown,unknown,7.529406457837013,15.755701670173917,0.009175451444186074,1.0,3739.96775926921,0.1069170296484609,1
Форовово,0.716567910137047,medium,DIY,5.209486152841421,15.55919942907314,0.033432195466539236,0.9211,31419.76923076923,0.29985240425697196,1
Волвинельск,0.7165093709026301,big,DIY,6.541029999189903,15.762025952393078,0.016771578504239926,0.7924,10121.729768786126,0.18841486718899292,1
Ладанчестер,0.7157662217674737,medium,Pharma,7.400009517162692,14.529527933022598,0.017019421915261415,0.8481,1249.0385321100916,0.18001715598584417,1
Уралдорпорт,0.7156551117193405,big,Fashion,6.882437470997847,15.79374433824285,0.014823748471876272,0.9243,7422.957905544148,0.10213530741747218,1
Северорполис,0.7152880936381439,top100,Other,6.450470422144176,16.521602576410984,0.01718112979976964,0.9139,23687.745253164558,0.09501609386356558,1
Даруюск,0.7144680209823425,big,Other,5.616771097666572,17.22716325846325,0.025257681380994216,0.8705,110639.79562043796,0.13335140213934663,1
Долкарчестер,0.711744563432617,big,DIY,6.077642243349034,16.51930371068036,0.04798857667170063,0.6174,34336.27356321839,0.04294763758935317,1
Светсточестер,0.7114711383602923,big,Other,7.425357887027151,16.758585712808127,0.02525404086115245,0.5264,11314.313655336911,0.04846921955472201,1
