merchant_mask;gen_industry;segment_type;in_market;gmv;orders;shows;above_market_shows;below_market_shows;clicks;do_clicks;share_above_market;share_below_market;share_normal;share_too_few_offers
Орурск;CEHAC;small;no_market;345;2;113553;27578;41303;3533;86;;0,1292;0,4748;0,0256
Зоринтаун-10728;CEHAC;small;no_market;1713;3;59595;5656;4220;2023;86;;0,443;0,3237;0,1279
Цархолмск;DIY;nano;no_market;100;1;14669;544;59;625;86;;0,901;0,0697;0,0238
Дарвинчестер;DIY;nano;no_market;14942;3;27669;0;0;655;86;;0,2898;0,3602;0,0308
Волхолмград;Other;small;no_market;4007;3;49576;0;0;752;86;;0,9923;0;0,0077
Берирвиль;Other;nano;no_market;0;0;15814;0;0;478;86;;0,7669;0,1322;0,0942
Нордеоград;DIY;small;no_market;0;0;41954;0;0;460;86;;;;
Уралвинридж;Other;medium;no_market;149576;4;24396;56;74;650;86;;0,3978;0,3134;0,2176
Яренвиль;Other;medium;no_market;13296;7;94639;1855;342;1618;86;;0,3807;0,467;0,1476
Ладилово;Home;medium;no_market;0;0;26499;0;0;704;86;;0,9812;0;0,0168
Лесстоово;Home;medium;no_market;3406;2;41929;0;0;1082;86;;;;
Зорхолмпорт;FMCG;small;no_market;1326;4;21575;0;0;506;86;;0,9526;0,0237;0,0237
Белольвиль;Home;medium;no_market;325;1;96363;0;0;2395;86;;;;
Велакент;Other;small;no_market;0;0;13327;2456;130;403;86;;0,5917;0,305;0,0183
Скалурск;DIY;small;no_market;0;0;8021;0;0;293;86;;0,2222;0;0,7778
Иланвиль-10742;DIY;nano;no_market;0;0;35854;70;47;1161;86;;0,6526;0,1687;0,0173
Старвинемир;FMCG;nano;no_market;0;0;50171;0;0;593;86;;0,1263;0;0,8728
Иланхилл-10744;Other;medium;market;1539;3;43433;19;12;909;86;;0,4511;0,1991;0,257
Речельино;Home;nano;no_market;0;0;34310;0;0;499;86;;0,1831;0,2501;0,4419
Тахолминск;Home;small;no_market;0;0;95400;2051;324;1571;86;;0,5179;0,3787;0,004
Белайкент;Other;medium;no_market;22;2;70645;97;63;1784;86;;0,3975;0,3021;0,1883
Чистерсково;Pharma;small;no_market;1811;1;19888;12123;3465;553;86;;0,3967;0,3471;0
Форярридж-10749;Fashion;nano;no_market;6847;6;69104;2431;2637;975;86;;0,6617;0,2254;0
Новбургкент;DIY;nano;no_market;0;0;61199;211;167;2336;86;;0,5261;0,3359;0,0224
Северооград-10751;Fashion;medium;no_market;0;0;31710;0;0;627;86;;;;
Лунланово;CEHAC;nano;no_market;65;2;60878;18376;6517;1579;86;;0,527;0,3122;0,0202
Новвининск;;no_market;0;;37449;0;0;807;86;;0;0;0,9906;
Северельино-10754;DIY;nano;no_market;0;0;42812;1427;12;716;86;;0,9598;0,0157;0,0017
Северуюбург;CEHAC;medium;market;308;3;49417;1559;1187;827;86;;0,1251;0,488;0,1507
Тихольемир;FMCG;medium;no_market;28453;3;131609;43817;46925;1423;86;;0,3438;0,2844;0,0157
Малкаремир;Other;nano;no_market;3886;3;28813;1647;811;535;86;;0,4576;0,4003;0,0232
Ярмарово;DIY;medium;no_market;2197;30;152576;2964;3188;1755;86;;0,47;0,4193;0,0145
Уралирчестер;CEHAC;small;no_market;435;2;47984;23031;10512;1075;86;;0,5455;0,2149;0,0032
Невовпорт;DIY;small;market;11;1;56021;10453;10524;991;86;;0,2667;0,6347;0,027
Ясилельск;CEHAC;nano;no_market;2947;5;32234;2104;2618;676;86;;0,7827;0,0253;0,0125
Тербринемир;FMCG;small;no_market;316;5;54166;0;0;1004;86;;0;0;1
Скаломемир;DIY;medium;no_market;153034;4;92757;300;180;2003;86;;0,7324;0,2305;0,0068
Берелемир-10764;FMCG;nano;no_market;950;1;47024;0;0;581;86;;0,9679;0,0321;0
Волевчестер;Fashion;medium;no_market;0;0;93941;0;0;758;86;;;;
Холонтаун;DIY;small;no_market;103094;4;18530;0;0;524;86;;0,903;0;0,097
Белтеркент;Other;small;no_market;818034;15;31306;419;397;1435;86;;0,407;0,2253;0,2446
Новполкент;Other;medium;no_market;325;1;65399;1435;2055;1074;86;;0,3156;0,382;0,037
Армарридж;Other;medium;no_market;0;0;42064;12;2;601;86;;0,3598;0,3177;0,277
Устонвиль;CEHAC;nano;no_market;181978;5;5464;4674;504;230;86;;0,8919;0,1081;0
Тербургридж;Home;small;no_market;0;0;18302;0;0;677;86;;0,8649;0,1351;0
Малелсково;FMCG;medium;no_market;0;0;166644;20;8;1619;86;;0,0743;0,3143;0,2411
Форонемир;FMCG;medium;no_market;165;2;27171;0;0;1001;86;;;;
Портуюпорт-10774;Fashion;medium;no_market;565;7;187547;0;0;1843;86;;0,6063;0,0483;0,253
Велальск;DIY;medium;no_market;3976000;16;314601;0;0;5375;86;;0,8026;0,1771;0,0203
Южеворск-10776;Other;nano;no_market;1425;2;38645;357;309;673;86;;0,7672;0,1878;0,0062
Горельград-10777;DIY;nano;no_market;443;4;57477;1783;1066;1484;86;;0,75;0,1824;0,0402
Портарпорт;Other;medium;no_market;45112;9;40717;0;0;787;86;;0,8129;0,0724;0,0996
Тихяристан;Other;nano;no_market;300;3;20432;0;0;1125;86;;0,65;0,1214;0,2043
Ладаград-10780;DIY;small;no_market;0;0;68415;3799;1045;1339;86;;0,8212;0,1598;0,0061
Солнурсково-10781;CEHAC;medium;no_market;1042150;16;401484;15268;11579;8549;86;;0,6971;0,2074;0,0057
Мирстоово;DIY;nano;no_market;0;0;52174;0;0;1009;86;;;;
Нордиистан;Other;nano;no_market;0;0;88203;0;0;805;86;;0,4444;0;0,2222
